scale,mean_ns,std_ns,sem_ns,ci_95_ns,p95_ns,p99_ns,min_ns,max_ns,repeats
1000,43662.86183333332,1803.487405621964,329.27024474520636,645.3696797006045,45616.795,49597.12285000001,41585.775,51072.595,30
10000,430481.83249999996,13175.69309160653,2405.5414390126257,4714.861220464746,445277.159,465981.2182,412591.475,474165.285,30
50000,4186408.1284999996,213647.75935275637,39006.56571931333,76452.86880985413,4460873.232,4529802.3566499995,3733611.635,4554541.13,30
100000,9845206.771833332,226073.67078981412,41275.21638319265,80899.4241110576,10233113.50175,10280336.827,9295203.245,10281916.95,30
200000,23171313.034666665,883543.8726466994,161312.303198023,316172.1142681251,24887351.169,25130149.225250002,22108997.0,25197922.885,30
