scale,mean_ns,std_ns,sem_ns,ci_95_ns,p95_ns,p99_ns,min_ns,max_ns,repeats
1000,7642.651,302.3974675945323,55.20997144465428,108.21154403152238,8247.38925,8505.52895,7430.47,8587.525,30
10000,10391.474666666667,325.2393048757976,59.3803012892581,116.38539052694587,11030.488,11345.821300000001,10152.93,11461.54,30
50000,13296.978333333334,1463.5107930491201,267.1992915017593,523.7106113434482,16752.09625,17132.990550000002,11565.42,17278.775,30
100000,12525.216333333336,598.4521799075445,109.26191950783402,214.15336223535468,14074.088249999999,14145.9751,12200.045,14150.705,30
200000,12938.191499999999,218.20641358881537,39.83885830496533,78.08416227773205,13013.9555,13762.157500000001,12811.915,14062.815,30
