scale,mean_ns,std_ns,sem_ns,ci_95_ns,p95_ns,p99_ns,min_ns,max_ns,repeats
1000,7602.5841666666665,188.77439462857527,34.46533140581758,67.55204955540245,8103.3465,8182.00575,7462.515,8197.035,30
10000,15832.901833333333,1578.6310887538432,288.21728576313996,564.9058800957544,19150.53875,21032.275450000005,14760.63,21691.56,30
50000,39818.930833333325,2769.1892385619626,505.58247065364725,990.9416424811486,46131.05299999999,47793.6219,37926.125,48045.31,30
100000,74781.60083333333,8067.681179877854,1472.950322992998,2886.9826330662763,87843.00999999998,93217.29895,65987.565,94360.84,30
200000,126957.86866666665,7912.405404497346,1444.600974722995,2831.4179104570703,145118.63275,149724.66874999998,122117.715,151360.74,30
