scale,local_mean_ns,local_std_ns,global_mean_ns,global_std_ns,ratio_global_to_local
1000,768.3438333333335,18.972382863599098,10683.745666666666,273.51247109477083,13.904901950363799
10000,1054.2179999999998,155.6523611460643,42297.62016666667,3702.0437318826366,40.12227088388424
50000,1433.4416666666664,123.59674656981744,177506.4533333333,13070.279562337111,123.83235220593794
100000,1557.1483333333333,118.68625898251392,346854.2763333333,13077.909087875221,222.74966932073477
200000,1771.6733333333332,388.6393013657934,700557.7028333333,21712.602987880127,395.42148637258185
