scale,mean_ns,std_ns,sem_ns,ci_95_ns,p95_ns,p99_ns,min_ns,max_ns,repeats
1000,7521.131666666666,144.6669320777267,26.41244734134621,51.76839678903857,7822.9885,7836.5686,7385.83,7837.195,30
10000,10080.858166666667,227.29509876265024,41.49821760088937,81.33650649774316,10558.94675,10588.8308,9885.45,10590.71,30
50000,11352.986333333336,53.9978651387276,9.85861626453431,19.322887878487247,11439.3675,11508.01455,11280.545,11535.015,30
100000,13799.67816666667,1760.503589131718,321.4225094454162,629.9881185130157,16645.4735,17108.74825,11841.945,17267.835,30
200000,16169.432666666666,2495.788737121177,455.6665966961999,893.1065295245518,20808.571249999997,22460.098350000004,12853.19,23103.865,30
